plan_key,supplier,plan_name,meter_type,tariff_variant,hour,unit_rate_c_kwh,unit_rate_eur_kwh,rate_type,standing_charge_urban,standing_charge_rural,standing_charge_nightstorage,standing_charge_period,standing_charge_includes_vat,vat_included,vat_rate,weekendfree_start_time,weekendfree_end_time,nightstorage_start,nightstorage_end,nightstorage_rate,welcome_bonus,currency,rate_unit,has_feed_in_tariff,feed_in_type,feed_in_rate_c_kwh,reversion_tariff_name,source_verified,human_verified,rate_notes,tariff_url,website_url,source_retrieved_at,created_at,last_checked_at
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,0,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,1,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,2,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,3,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,4,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,5,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,6,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,7,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,8,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,9,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
Bord Gáis Energy | Electricity Discount 32% | 24 Hour Standard Meter | post_promo,Bord Gáis Energy,Electricity Discount 32%,24 Hour Standard Meter,post_promo,10,41.59,0.41590000000000005,standard,244.76,244.76,,yearly,True,True,9,,,,,,,EUR,c/kWh,True,microgen,18.5,Standard Tariff,True,True,Flat rate 41.59c/kWh; Post Promotional rates.  ,https://www.bordgaisenergy.ie/home/our-plans/a0pSh000000dcS1IAI,https://www.bordgaisenergy.ie,2026-03-11,2026-03-11,2026-04-08
