supplier,plan_name,meter_type,tariff_variant,is_promotional,promo_duration_months,rate_type,standing_charge_urban,standing_charge_rural,standing_charge_nightstorage,standing_charge_period,standing_charge_includes_vat,vat_included,vat_rate,weekendfree_start_time,weekendfree_end_time,nightstorage_start,nightstorage_end,nightstorage_rate,welcome_bonus,currency,rate_unit,has_feed_in_tariff,feed_in_type,feed_in_rate_c_kwh,reversion_tariff_name,source_verified,human_verified,rate_notes,tariff_url,website_url,source_retrieved_at,created_at,last_checked_at
Electric Ireland,Home Electric + Saver 14%,Smart Meter (SST),promo,True,12.0,standard,250.77,314.98,,yearly,True,True,9,,,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,24-hour flat tariff — 00:00–24:00 (29.27c/kWh); 20% unit rate discount; €75 welcome bonus; smart meter required; new customers only.,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Home Electric + Saver 14%,Smart Meter (SST),post_promo,True,12.0,standard,250.77,314.98,,yearly,True,True,9,,,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,24-hour flat tariff — 00:00–24:00 (34.03c/kWh); Home Electric + Saver 14% – Post Promo,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Home Electric+ Night Boost ,Smart Meter (SST),promo,True,12.0,night_boost,328.58,400.48,,yearly,True,True,9,,,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,Day 08:00–23:00 ; Night 23:00–08:00 ; Night Boost 02:00–04:00 ; 5.5% unit rate discount; smart meter required; new customers only.,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Home Electric+ Night Boost ,Smart Meter (SST),post_promo,True,12.0,night_boost,328.58,400.48,,yearly,True,True,9,,,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,Day 08:00–23:00 ; Night 23:00–08:00 ; Night Boost 02:00–04:00 ; Home Electric+Night Boost post promo rates,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Home Electric+ Weekender 5.5%,Smart Meter (SST),promo,True,12.0,free_weekend,250.77,314.98,,yearly,True,True,9,08:00:00,23:00:00,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,Standard rate 24h (35.30c/kWh); Free electricity Saturdays or Sundays 08:00–23:00; 5.5% unit rate discount; smart meter required.,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Home Electric+ Weekender 5.5%,Smart Meter (SST),post_promo,True,12.0,free_weekend,250.77,314.98,,yearly,True,True,9,08:00:00,23:00:00,,,,,EUR,c/kWh,False,,,Standard Tariff,True,True,Standard rate 24h (37.35c/kWh); Free electricity Saturdays or Sundays 08:00–23:00. Home Electric + Weekender Post Promo rates.,https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Electricity 10% Discount,24 Hour Meter/Night Storage Heating Meter,promo,True,12.0,standard,250.77,314.98,12.65,yearly,True,True,9,,,23:00:00,08:00:00,16.47,25.0,EUR,c/kWh,False,,,Standard Tariff,True,True,"24-hour flat tariff — 00:00–24:00 (31.27c/kWh); Night Storage Heating rate (16.47c/kWh, requires separate night storage heating meter).",https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Electricity 10% Discount,24 Hour Meter/Night Storage Heating Meter,post_promo,True,12.0,standard,250.77,314.98,12.65,yearly,True,True,9,,,23:00:00,08:00:00,18.3,,EUR,c/kWh,False,,,Standard Tariff,True,True,"24-hour flat tariff — 00:00–24:00 (34.75c/kWh); Night Storage Heating rate (18.30 c/kWh, requires separate night storage heating meter); Post promotional rate.",https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Green Electricity,24 Hour Meter/Night Storage Heating Meter,promo,True,12.0,standard,250.77,314.98,12.65,yearly,True,True,9,,,23:00:00,08:00:00,17.49,,EUR,c/kWh,False,,,Standard Tariff,True,True,"24-hour flat tariff — 00:00–24:00 (33.00c/kWh); Night Storage Heating rate (17.49c/kWh, requires separate night storage heating meter); 5.5% unit rate discount.",https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
Electric Ireland,Green Electricity,25 Hour Meter/Night Storage Heating Meter,post_promo,True,12.0,standard,250.77,314.98,12.65,yearly,True,True,9,,,23:00:00,08:00:00,18.51,,EUR,c/kWh,False,,,Standard Tariff,True,True,"24-hour flat tariff — 00:00–24:00 (34.92c/kWh); Night Storage Heating rate (18.51c/kWh, requires separate night storage heating meter);Post Promotion rates.",https://www.electricireland.ie/switch/new-customer/price-plans?priceType=E,https://www.electricireland.ie,2026-03-11,2026-03-11,2026-04-08
